Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22p,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,53.25,-78.5,180,top
C2,22p,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,53.25,-88.5,180,top
C3,0.1u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,65,-74.5,270,top
C4,0.1u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,62,-74.5,270,top
C5,0.1u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,76.25,-83.5,270,top
C6,0.1u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,76.25,-88,90,top
C7,4.7u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,68,-74.5,270,top
C8,1u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,73.25,-83.5,270,top
C9,0.1u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,143.75,-80.5,270,top
D0_0,D,D_SOD-123,23,-36.25,180,top
D0_1,D,D_SOD-123,42,-24.25,180,top
D0_2,D,D_SOD-123,61,-18.25,180,top
D0_3,D,D_SOD-123,80,-23.75,180,top
D0_4,D,D_SOD-123,99,-26.25,180,top
D0_5,D,D_SOD-123,153,-26.25,180,top
D0_6,D,D_SOD-123,172,-23.75,180,top
D0_7,D,D_SOD-123,191,-18.25,180,top
D0_8,D,D_SOD-123,210,-24.25,180,top
D0_9,D,D_SOD-123,229,-36.25,180,top
D1_0,D,D_SOD-123,23,-55.25,180,top
D1_1,D,D_SOD-123,42,-43.25,180,top
D1_2,D,D_SOD-123,61,-37.25,180,top
D1_3,D,D_SOD-123,80,-42.75,180,top
D1_4,D,D_SOD-123,99,-45.25,180,top
D1_5,D,D_SOD-123,153,-45.25,180,top
D1_6,D,D_SOD-123,172,-42.75,180,top
D1_7,D,D_SOD-123,191,-37.25,180,top
D1_8,D,D_SOD-123,210,-43.25,180,top
D1_9,D,D_SOD-123,229,-55.25,180,top
D2_0,D,D_SOD-123,23,-74.25,180,top
D2_1,D,D_SOD-123,42,-62.25,180,top
D2_2,D,D_SOD-123,61,-56.25,180,top
D2_3,D,D_SOD-123,80,-61.75,180,top
D2_4,D,D_SOD-123,99,-64.25,180,top
D2_5,D,D_SOD-123,153,-64.25,180,top
D2_6,D,D_SOD-123,172,-61.75,180,top
D2_7,D,D_SOD-123,191,-56.25,180,top
D2_8,D,D_SOD-123,210,-62.25,180,top
D2_9,D,D_SOD-123,229,-74.25,180,top
D3_3,D,D_SOD-123,90.2,-83.4,165,top
D3_4,D,D_SOD-123,112.3,-90.9,150,top
D3_5,D,D_SOD-123,139.6,-90.9,210,top
D3_6,D,D_SOD-123,161.75,-83.45,195,top
G***,LOGO,pad,188,-83,10,top
G***,LOGO,mask,188,-83,10,top
J1,USB C,USB_C_Receptacle_HRO_TYPE-C-31-M-12,116.695,-61.015,180,top
R1,10k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,59,-74.5,90,top
R2,10k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,73.25,-88,270,top
R3,22,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,119.25,-71.575,180,top
R4,22,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,114.25,-71.575,0,top
R5,5.1K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,119.25,-68.575,180,top
R6,5.1K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,114.25,-68.575,0,top
R7,4.7k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,119.25,-74.575,180,top
R8,4.7k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,114.25,-74.575,0,top
SW1,SW_PUSH,SW_SPST_B3U-1000P,42,-83.5,90,top
U1,ATMEGA32U4,TQFP-44_10x10mm_P0.8mm,64.25,-83.9,270,top
U2,MCP23017_SO,SOIC-28W_7.5x17.9mm_P1.27mm,135.96,-66.24,0,top
X1,XTAL_GND,Crystal_SMD_3225-4Pin_3.2x2.5mm,53,-83.5,270,top
